name,status,n_ok,n_total,time_min,mode,kv_mix_ratio,target_drift,ls_ratio,kp,kd,use_soft_mask,use_adaptive_kv,use_channel_ls,psnr,ssim,lpips,psnr_bg,ssim_bg,lpips_bg,clip_i,clip_t,clip_dir,psnr_n,ssim_n,lpips_n,psnr_bg_n,ssim_bg_n,lpips_bg_n,clip_i_n,clip_t_n,clip_dir_n,per_config_csv
pd_kv0.30_soft_mask_only,ok,688,700,148.7,pd_adaptive,0.3,0.02,0.45,1.5,0.2,True,False,False,20.81734610643772,0.7173915033276431,0.2834675884453666,22.197096609802728,0.732362560617128,0.18158051694346047,0.8891257122592178,0.25162057197371196,0.07498186971277518,688,688,688,544,544,544,688,688,688,outputs_pie700_full/pd_kv0.30_soft_mask_only/pie_samples.csv
paper_adaedit,ok,688,700,141.4,original,0.9,,0.25,,,True,True,True,18.572319174246896,0.6666468374172492,0.3447217560741444,20.77814037642924,0.709820594648922,0.20235700838558093,0.8700628004275089,0.25954289278448667,0.10028207194510858,688,688,688,544,544,544,688,688,688,outputs_pie700_full/paper_adaedit/pie_samples.csv
